ID;date;route_id;route_name;route_type;trip_id;departure_time;arrival_time;duration_minutes;num_passengers;num_complaints
3027;20210620;4-15-s21-1;15;3;13.T3.4-15-s21-1.10.H;14:23:00;14:49:00;26;0;0
3028;20210620;4-15-s21-1;15;3;272.T3.4-15-s21-1.13.R;14:51:00;15:17:00;26;0;0
3029;20210620;4-15-s21-1;15;3;17.T3.4-15-s21-1.10.H;17:23:00;17:49:00;26;0;0
3030;20210620;4-15-s21-1;15;3;25.T3.4-15-s21-1.13.R;17:51:00;18:17:00;26;0;0
3031;20210621;4-17-s21-1;17;3;47.T0.4-17-s21-1.4.H;06:33:00;06:44:00;11;3;1
3032;20210621;4-15-s21-1;15;3;14.T0.4-15-s21-1.11.R;06:50:00;06:50:00;0;0;0
3033;20210621;4-17-s21-1;17;3;150.T0.4-17-s21-1.3.R;06:50:00;07:09:00;19;16;1
3034;20210621;4-18-s21-1;18;3;35.T0.4-18-s21-1.2.H;07:22:00;07:22:00;0;0;0
3035;20210621;4-18-s21-1;18;3;16.T0.4-18-s21-1.5.R;07:32:00;07:38:00;6;26;0
3036;20210621;4-17-s21-1;17;3;16.T0.4-17-s21-1.11.R;07:53:00;08:03:00;10;21;1
3037;20210621;4-17-s21-1;17;3;39.T0.4-17-s21-1.4.H;08:03:00;08:14:00;11;11;0
3038;20210621;4-18-s21-1;18;3;1.T0.4-18-s21-1.6.H;08:27:00;08:56:00;29;6;1
3039;20210621;4-15-s21-1;15;3;23.T0.4-15-s21-1.11.R;09:02:00;09:30:00;28;35;0
3040;20210622;77-7-j21-1;7;3;58.T0.77-7-j21-1.48.R;14:25:00;14:49:00;24;8;0
3041;20210622;4-5-s21-1;5;3;50.T0.4-5-s21-1.6.H;14:55:00;15:22:00;27;8;0
3042;20210622;4-5-s21-1;5;3;16.T0.4-5-s21-1.3.R;15:23:00;15:39:00;16;7;1
3043;20210622;4-5-s21-1;5;3;51.T0.4-5-s21-1.4.H;15:47:00;16:07:00;20;23;3
3044;20210622;4-5-s21-1;5;3;17.T0.4-5-s21-1.1.R;16:08:00;16:32:00;24;7;0
3045;20210622;4-3-s21-1;3;3;36.T0.4-3-s21-1.7.R;16:42:00;16:48:00;6;0;0
3046;20210622;77-7-j21-1;7;3;15.T0.77-7-j21-1.8.H;17:08:00;17:33:00;25;9;2
3047;20210625;4-44-s21-1;44;3;76.T0.4-44-s21-1.9.R;12:00:00;12:01:00;1;9;0
3049;20210626;5-2221-1;22;3;2257.T2.5-2221-1.4.H;10:40:00;10:47:00;7;2;0
3050;20210626;5-2221-1;22;3;2256.T2.5-2221-1.7.R;11:06:00;11:52:00;46;11;0
3051;20210626;5-2221-1;22;3;2261.T2.5-2221-1.4.H;12:00:00;12:04:00;4;1;0
3052;20210626;4-17-s21-1;17;3;205.T2.4-17-s21-1.11.R;12:08:00;12:12:00;4;8;0
3053;20210626;4-15-s21-1;15;3;166.T2.4-15-s21-1.2.H;12:25:00;12:44:00;19;7;0
3054;20210626;4-17-s21-1;17;3;207.T2.4-17-s21-1.11.R;12:53:00;13:00:00;7;13;0
3055;20210626;4-17-s21-1;17;3;167.T2.4-17-s21-1.4.H;13:07:00;13:14:00;7;11;0
3056;20210626;4-15-s21-1;15;3;208.T2.4-15-s21-1.11.R;13:23:00;13:42:00;19;23;1
3057;20210626;4-44-s21-1;44;3;20.T2.4-44-s21-1.6.H;13:52:00;13:58:00;6;9;0
3058;20210628;4-43-s21-1;43;3;116.T0.4-43-s21-1.24.H;06:47:00;07:03:00;16;10;0
3059;20210628;4-44-s21-1;44;3;108.T0.4-44-s21-1.11.R;07:08:00;07:21:00;13;45;1
3060;20210628;4-43-s21-1;43;3;1.T0.4-43-s21-1.1.R;07:21:00;07:28:00;7;55;0
3061;20210702;4-44-s21-1;44;3;31.T0.4-44-s21-1.8.H;13:12:00;13:22:00;10;70;1
3063;20210702;4-43-s21-1;43;3;12.T0.4-43-s21-1.14.H;13:43:00;14:09:00;26;35;0
3064;20210702;4-43-s21-1;43;3;5346.T0.4-43-s21-1.1.R;14:12:00;14:39:00;27;19;0
